,price,rent_price,area_m2,room_number,year,floor_number,features
60,685000.0,498.0,66.4,3.0,2022.0,floor_1,"['telewizja kablowa', 'internet', 'telefon', 'system alarmowy', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'klimatyzacja', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
61,655000.0,550.0,76.0,3.0,1958.0,floor_2,"['meble', 'piwnica', 'garaż/miejsce parkingowe']"
62,629000.0,,64.3,3.0,1976.0,floor_7,[]
63,1599000.0,700.0,72.89,3.0,2020.0,floor_4,"['balkon', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
64,,,98.19,4.0,2024.0,floor_5,"['garaż/miejsce parkingowe', 'taras', 'balkon', 'winda']"
65,,,69.7,3.0,2024.0,floor_3,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
66,,,48.81,2.0,2024.0,floor_5,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
67,,,57.98,3.0,2022.0,floor_1,"['balkon', 'winda']"
68,629000.0,800.0,90.45,3.0,2016.0,floor_3,"['telewizja kablowa', 'internet', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'balkon', 'dwupoziomowe']"
69,465885.0,,54.81,3.0,2024.0,floor_1,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'rolety antywłamaniowe', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'ogródek', 'winda', 'pom. użytkowe']"
70,,,32.5,1.0,2023.0,floor_1,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
71,689000.0,,65.93,3.0,2022.0,floor_1,[]
72,750000.0,,74.7,3.0,1998.0,floor_3,"['balkon', 'piwnica', 'garaż/miejsce parkingowe']"
73,379000.0,200.0,38.85,2.0,2022.0,floor_1,"['internet', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe', 'winda']"
74,420000.0,350.0,38.77,2.0,2022.0,floor_1,"['telewizja kablowa', 'internet', 'domofon / wideofon', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'balkon', 'garaż/miejsce parkingowe', 'winda']"
75,629880.0,,72.4,2.0,2023.0,floor_4,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'winda', 'dwupoziomowe']"
76,1490000.0,,84.4,3.0,,floor_1,"['meble', 'piwnica', 'garaż/miejsce parkingowe']"
77,507126.0,,42.84,2.0,2024.0,floor_4,[]
78,820000.0,261.0,41.12,2.0,2017.0,floor_3,"['internet', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'balkon', 'garaż/miejsce parkingowe', 'winda']"
79,675000.0,700.0,63.0,3.0,1972.0,floor_1,"['telewizja kablowa', 'internet', 'telefon', 'domofon / wideofon', 'meble', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'winda', 'oddzielna kuchnia']"
